No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
3,Cal Bowdler,SF,6-10,245,"March 31, 1977",us US,1,Old Dominion,ATL,2001
30,Ira Bowman,PG,6-5,195,"June 11, 1973",us US,1,"Providence, Penn",ATL,2001
2,Sean Colson,PG,6-0,175,"July 1, 1975",us US,R,"Rhode Island, UNC Charlotte",ATL,2001
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,3,Marquette,ATL,2001
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,1,Georgia Tech,ATL,2001
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,5,Indiana,ATL,2001
22,Jim Jackson,SF,6-6,220,"October 14, 1970",us US,8,Ohio State,ATL,2001
10,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,3,College of Charleston,ATL,2001
1,DerMarr Johnson,SF,6-9,201,"May 5, 1980",us US,R,Cincinnati,ATL,2001
22,Brevin Knight,PG,5-10,173,"November 8, 1975",us US,3,Stanford,ATL,2001
7,Toni Kukoč,SF,6-10,192,"September 18, 1968",hr HR,7,,ATL,2001
12,Matt Maloney,PG,6-3,192,"December 6, 1971",us US,4,"Vanderbilt, Penn",ATL,2001
7,Roshown McLeod,SF,6-8,221,"November 17, 1975",us US,2,"St. John's, Duke",ATL,2001
34,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,6,Michigan State,ATL,2001
14,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,2,Kentucky,ATL,2001
13,Hanno Möttölä,SF,6-11,247,"September 9, 1976",fi FI,R,Utah,ATL,2001
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,9,Georgetown,ATL,2001
24,Andy Panko,SF,6-9,222,"November 27, 1977",us US,R,Lebanon Valley College,ATL,2001
20,Larry Robinson,PG,6-3,180,"January 11, 1968",us US,5,Centenary (LA),ATL,2001
24,Pepe Sánchez,PG,6-4,195,"May 8, 1977",ar AR,R,Temple,ATL,2001
14,Tony Smith,SG,6-3,185,"June 14, 1968",us US,8,Marquette,ATL,2001
31,Jason Terry,SG,6-2,185,"September 15, 1977",us US,1,Arizona,ATL,2001
42,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,4,Memphis,ATL,2001
3,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",us US,5,California,ATL,2002
6,Cal Bowdler,PF,6-10,245,"March 31, 1977",us US,2,Old Dominion,ATL,2002
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,4,Marquette,ATL,2002
15,Emanual Davis,PG,6-4,195,"August 27, 1968",us US,4,Delaware State University,ATL,2002
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,2,Georgia Tech,ATL,2002
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,6,Indiana,ATL,2002
1,DerMarr Johnson,SF,6-9,201,"May 5, 1980",us US,1,Cincinnati,ATL,2002
7,Toni Kukoč,SF,6-10,192,"September 18, 1968",hr HR,8,,ATL,2002
2,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,3,Kentucky,ATL,2002
13,Hanno Möttölä,C,6-11,247,"September 9, 1976",fi FI,1,Utah,ATL,2002
14,Ira Newble,SF,6-7,220,"January 20, 1975",us US,1,Miami University,ATL,2002
42,Theo Ratliff,C,6-10,225,"April 17, 1973",us US,6,Wyoming,ATL,2002
0,Dickey Simpkins,PF,6-9,248,"April 6, 1972",us US,6,Providence,ATL,2002
35,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,6,Wyoming,ATL,2002
41,Leon Smith,C,6-10,235,"November 2, 1980",us US,R,,ATL,2002
30,Mark Strickland,SF,6-9,210,"July 14, 1970",us US,6,Temple,ATL,2002
31,Jason Terry,SG,6-2,185,"September 15, 1977",us US,2,Arizona,ATL,2002
11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",us US,4,Kansas,ATL,2002
3,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",us US,6,California,ATL,2003
25,Corey Benjamin,SG,6-6,200,"February 24, 1978",us US,3,Oregon State,ATL,2003
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,5,Marquette,ATL,2003
15,Emanual Davis,SG,6-4,195,"August 27, 1968",us US,5,Delaware State University,ATL,2003
12,Dan Dickau,PG,6-0,190,"September 16, 1978",us US,R,"Washington, Gonzaga",ATL,2003
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,3,Georgia Tech,ATL,2003
8,Darvin Ham,SG,6-7,220,"July 23, 1973",us US,5,Texas Tech,ATL,2003
40,Antonio Harvey,PF,6-11,225,"July 6, 1970",us US,7,"Southern Illinois, Georgia, Pfeiffer University",ATL,2003
44,Alan Henderson,C,6-9,235,"December 2, 1972",us US,7,Indiana,ATL,2003
6,Jermaine Jackson,SG,6-4,204,"June 7, 1976",us US,2,Detroit Mercy,ATL,2003
11,Matt Maloney,PG,6-3,192,"December 6, 1971",us US,5,"Vanderbilt, Penn",ATL,2003
0,Amal McCaskill,C,6-11,235,"October 28, 1973",us US,2,Marquette,ATL,2003
2,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,4,Kentucky,ATL,2003
38,Mikki Moore,C,6-11,225,"November 4, 1975",us US,4,Nebraska,ATL,2003
14,Ira Newble,SF,6-7,220,"January 20, 1975",us US,2,Miami University,ATL,2003
42,Theo Ratliff,C,6-10,225,"April 17, 1973",us US,7,Wyoming,ATL,2003
13,Glenn Robinson,SF,6-7,225,"January 10, 1973",us US,8,Purdue,ATL,2003
45,Paul Shirley,PF,6-10,230,"December 23, 1977",us US,R,Iowa State,ATL,2003
31,Jason Terry,PG,6-2,185,"September 15, 1977",us US,3,Arizona,ATL,2003
29,Mike Wilks,SG,5-10,185,"May 7, 1979",us US,R,Rice University,ATL,2003
17,Brandon Williams,SF,6-6,215,"February 27, 1975",us US,2,Davidson,ATL,2003
3,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",us US,7,California,ATL,2004
33,Michael Bradley,C,6-10,245,"April 18, 1979",us US,2,"Kentucky, Villanova",ATL,2004
40,Jason Collier,C,7-0,260,"September 8, 1977",us US,3,"Indiana, Georgia Tech",ATL,2004
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,6,Marquette,ATL,2004
5,Josh Davis,PF,6-8,235,"August 10, 1980",us US,R,Wyoming,ATL,2004
32,Boris Diaw,SG,6-8,250,"April 16, 1982",fr FR,R,,ATL,2004
12,Dan Dickau,PG,6-0,190,"September 16, 1978",us US,1,"Washington, Gonzaga",ATL,2004
15,Hiram Fuller,PF,6-9,240,"May 15, 1981",us US,R,Fresno State,ATL,2004
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,4,Georgia Tech,ATL,2004
6,Travis Hansen,SF,6-6,205,"April 15, 1978",us US,R,"Utah Valley, BYU",ATL,2004
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,8,Indiana,ATL,2004
1,Stephen Jackson,SF,6-8,218,"April 5, 1978",us US,3,Butler County Community College,ATL,2004
2,Nazr Mohammed,C,6-10,221,"September 5, 1977",us US,5,Kentucky,ATL,2004
34,Mamadou N'Diaye,C,7-0,255,"June 16, 1975",sn SN,3,Auburn,ATL,2004
54,Lee Nailon,PF,6-9,238,"February 22, 1975",us US,3,"Butler County Community College, TCU",ATL,2004
7,Wesley Person,SG,6-6,195,"March 28, 1971",us US,9,Auburn,ATL,2004
10,Joel Przybilla,C,7-1,255,"October 10, 1979",us US,3,Minnesota,ATL,2004
42,Theo Ratliff,C,6-10,225,"April 17, 1973",us US,8,Wyoming,ATL,2004
12,Željko Rebrača,C,7-0,257,"April 9, 1972",rs RS,2,,ATL,2004
3,Bob Sura,SG,6-5,200,"March 25, 1973",us US,8,Florida State,ATL,2004
31,Jason Terry,PG,6-2,185,"September 15, 1977",us US,4,Arizona,ATL,2004
11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",us US,6,Kansas,ATL,2004
36,Rasheed Wallace,PF,6-11,225,"September 17, 1974",us US,8,UNC,ATL,2004
12,Kenny Anderson,PG,6-1,168,"October 9, 1970",us US,13,Georgia Tech,ATL,2005
20,Jon Barry,SG,6-4,195,"July 25, 1969",us US,12,"University of the Pacific, Georgia Tech",ATL,2005
1,Josh Childress,SG,6-8,210,"June 20, 1983",us US,R,Stanford,ATL,2005
40,Jason Collier,C,7-0,260,"September 8, 1977",us US,4,"Indiana, Georgia Tech",ATL,2005
0,Tony Delk,SG,6-1,189,"January 28, 1974",us US,8,Kentucky,ATL,2005
13,Boris Diaw,SG,6-8,250,"April 16, 1982",fr FR,1,,ATL,2005
14,Predrag Drobnjak,C,6-11,270,"October 27, 1975",me ME,3,,ATL,2005
54,Obinna Ekezie,C,6-9,270,"August 22, 1975",ng NG,3,Maryland,ATL,2005
7,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us US,12,NC State,ATL,2005
3,Al Harrington,SF,6-9,230,"February 17, 1980",us US,6,,ATL,2005
36,Royal Ivey,PG,6-3,200,"December 20, 1981",us US,R,Texas,ATL,2005
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,6,Nebraska,ATL,2005
34,Jelani McCoy,C,6-10,245,"December 6, 1977",us US,6,UCLA,ATL,2005
2,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,7,Michigan State,ATL,2005
15,Donta Smith,SG,6-7,215,"November 27, 1983",us US,R,Southeastern Illinois College,ATL,2005
5,Josh Smith,SF,6-9,225,"December 5, 1985",us US,R,,ATL,2005
44,Michael Stewart,PF,6-10,230,"April 25, 1975",fr FR,7,California,ATL,2005
