No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,1,New Mexico State,ATL,1979
22,John Drew,SF,6-6,205,"September 30, 1954",us US,4,Gardner-Webb University,ATL,1979
25,Terry Furlow,SG,6-4,190,"October 18, 1954",us US,2,Michigan State,ATL,1979
21,Jack Givens,SF,6-5,205,"September 21, 1956",us US,R,Kentucky,ATL,1979
10,Steve Hawes,PF,6-9,220,"May 26, 1950",us US,4,Washington,ATL,1979
33,Keith Herron,SG,6-6,195,"June 14, 1956",us US,R,Villanova,ATL,1979
24,Armond Hill,PG,6-4,190,"March 31, 1953",us US,2,Princeton,ATL,1979
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,1,Auburn,ATL,1979
15,Butch Lee,PG,6-0,185,"December 5, 1956",pr PR,R,Marquette,ATL,1979
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,3,Maryland,ATL,1979
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,1,Clemson,ATL,1979
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,3,Central Michigan University,ATL,1979
42,Rick Wilson,SG,6-5,200,"February 7, 1956",us US,R,Louisville,ATL,1979
50,John Brown,SF,6-7,220,"December 14, 1951",de DE,6,Missouri,ATL,1980
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,2,New Mexico State,ATL,1980
22,John Drew,SF,6-6,205,"September 30, 1954",us US,5,Gardner-Webb University,ATL,1980
25,Terry Furlow,SG,6-4,190,"October 18, 1954",us US,3,Michigan State,ATL,1980
21,Jack Givens,SF,6-5,205,"September 21, 1956",us US,1,Kentucky,ATL,1980
10,Steve Hawes,PF,6-9,220,"May 26, 1950",us US,5,Washington,ATL,1980
24,Armond Hill,PG,6-4,190,"March 31, 1953",us US,3,Princeton,ATL,1980
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,2,Auburn,ATL,1980
44,Ron Lee,PG,6-4,193,"November 2, 1952",us US,3,Oregon,ATL,1980
33,Jim McElroy,PG,6-3,190,"October 4, 1953",us US,4,Central Michigan University,ATL,1980
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,4,Maryland,ATL,1980
41,Sam Pellom,PF,6-9,225,"October 2, 1951",us US,R,Buffalo,ATL,1980
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,2,Clemson,ATL,1980
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,4,Central Michigan University,ATL,1980
42,Rick Wilson,SG,6-5,200,"February 7, 1956",us US,1,Louisville,ATL,1980
16,Tom Burleson,C,7-2,225,"February 24, 1952",us US,6,NC State,ATL,1981
44,Art Collins,SG,6-4,185,"April 14, 1954",us US,R,St. Thomas University,ATL,1981
"7, 42",Don Collins,SF,6-6,190,"November 28, 1958",us US,R,Washington State,ATL,1981
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,3,New Mexico State,ATL,1981
22,John Drew,SF,6-6,205,"September 30, 1954",us US,6,Gardner-Webb University,ATL,1981
10,Steve Hawes,C,6-9,220,"May 26, 1950",us US,6,Washington,ATL,1981
24,Armond Hill,PG,6-4,190,"March 31, 1953",us US,4,Princeton,ATL,1981
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,3,Auburn,ATL,1981
1,Wes Matthews,PG,6-1,170,"August 24, 1959",us US,R,Wisconsin,ATL,1981
33,Jim McElroy,PG,6-3,190,"October 4, 1953",us US,5,Central Michigan University,ATL,1981
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,5,Maryland,ATL,1981
41,Sam Pellom,PF,6-9,225,"October 2, 1951",us US,1,Buffalo,ATL,1981
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,3,Clemson,ATL,1981
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,5,Central Michigan University,ATL,1981
11,Craig Shelton,SF,6-7,210,"May 1, 1957",us US,R,Georgetown,ATL,1981
